genre,total_streams,chart_appearances,avg_position,rank
egyptian hip hop,149732727.5964286,12491,86.28,597
pop punk,149564342.4906037,3304,102.96,598
j-division,149207777.24935898,1478,93.0,599
pinoy reggae,149188202.56666654,2058,114.11,600
broadway,148887063.86666647,1582,103.0,601
tollywood,148716124.59999996,506,99.66,602
egyptian trap,148706336.72500005,11375,84.94,603
deep tropical house,147817074.04039413,4917,121.57,604
italian pop rock,147770806.87857157,1832,100.4,605
destroy techno,147195833.59444454,4006,100.99,606
turkish alternative,147115076.42619047,2680,125.89,607
indie liguria,146432771.72029924,1614,112.48,608
rap espanol,146424338.65634915,994,116.78,609
pakistani hip hop,145619891.83214283,1520,104.28,610
portland hip hop,145304561.61940837,763,123.06,611
finnish trap,145302939.46984127,4671,91.17,612
antilliaanse rap,145025665.94285727,1843,105.82,613
comedy rap,144342262.9499999,1339,85.79,614
russian alt pop,144145499.88333347,4849,110.93,615
madchester,143776802.01272887,4454,162.52,616
indie anthem-folk,142835489.1530304,2534,116.55,617
instrumental grime,142753430.60781997,3441,113.74,618
singaporean pop,142184037.91400522,6984,119.78,619
transpop,141919805.5968863,576,41.06,620
icelandic pop,141842603.50952414,24606,96.54,621
blues rock,141800474.44256893,3532,134.31,622
bachata dominicana,141479385.47619072,3357,107.99,623
stomp pop,141408938.70303035,6814,93.65,624
indonesian pop punk,141211520.8666668,1104,85.11,625
south african pop,141044620.5390295,6717,92.66,626
indie viet,140555739.21190467,6515,86.17,627
taiwan indie,139797014.68571413,5219,92.11,628
vegas indie,139216095.80000022,1426,111.65,629
surf punk,138940823.80000022,1410,110.45,630
danish electronic,138744041.76803714,5185,103.89,631
reggaeton mexicano,138676821.59007925,1387,110.47,632
polish viral rap,137824331.5,747,85.32,633
afro soul,137523373.30261484,6183,86.58,634
dark clubbing,136703576.966667,2087,105.32,635
spanish indie pop,135543216.74027783,1032,119.96,636
indie rockism,135200824.5,223,109.7,637
rap conciencia,134259348.5900169,1884,93.82,638
hindi indie,134052243.12499996,916,105.82,639
italian reggae,133194318.69047618,702,96.21,640
boston hip hop,129840308.42843167,1338,100.08,641
folk rock,129403517.68777084,5691,114.15,642
australian talent show,129085596.01309523,1829,107.11,643
bass trap,127663913.85706112,5879,94.06,644
hyperpop,127587296.9253968,1858,108.65,645
virginia hip hop,126249059.45428658,2446,116.04,646
folk brasileiro,125567890.9869047,1192,119.3,647
gujarati pop,125526761.39653689,1232,104.37,648
salsa colombiana,124911905.1000002,944,101.98,649
aussie drill,124204135.19300976,1014,107.2,650
spanish rock,123320843.84226188,3615,151.77,651
classic danish pop,122572883.41666682,2253,106.74,652
french rock,121999015.8126982,5060,81.1,653
czech drill,121970835.33571392,8304,89.87,654
bergamo indie,121405577.01666665,716,81.41,655
toronto indie,120267987.25,270,99.91,656
instrumental funk,119910980.66666664,2792,88.01,657
pop chileno,118594480.96231882,1324,120.93,658
vietnamese singer-songwriter,117941399.72857144,5140,92.44,659
light music,116762573.75,753,90.93,660
celtic rock,116477423.07023804,4058,103.58,661
sophisti-pop,114283135.53214274,1562,102.69,662
j-pop boy group,113953413.82435894,1294,99.47,663
g-house,113400555.09536341,2178,80.66,664
dream pop,113193391.19222017,2222,122.22,665
contemporary r&b,113046139.13701567,9720,95.05,666
ska argentino,112651410.73809546,5823,151.31,667
ghanaian hip hop,112191928.79170172,1423,106.37,668
alabama rap,112006226.98908733,964,101.58,669
chill drill,111058018.53888889,889,104.42,670
hyphy,110753807.34888437,4482,89.29,671
modern funk,110734345.36904766,2664,87.4,672
bboy,110729975.96923082,2679,88.03,673
bandung indie,109977296.9000002,1023,84.13,674
russian emo rap,109161496.35634933,3772,97.74,675
j-pixie,108950344.49999985,1621,100.32,676
dakke dak,108471536.52207781,2815,112.98,677
amapiano,108007720.68583961,4979,79.57,678
russian drill,106928852.91190483,4170,101.23,679
korean pop,106622396.75952376,4049,117.41,680
rap algerien,106038128.74541864,3254,100.82,681
chihuahua indie,105938086.58333343,1468,116.09,682
country rap,105677687.75,312,106.86,683
alte,105293594.93041661,2809,102.19,684
taiwan hip hop,104927003.42380947,3509,89.55,685
thai trap,104647219.87499994,2233,74.94,686
jamaican dancehall,103955831.45629093,3929,97.8,687
deep turkish pop,103700066.23333359,1939,105.88,688
pinoy singer-songwriter,103245124.1666667,482,84.76,689
japanese punk rock,101428254.49047607,1216,93.18,690
classic j-pop,101365832.36071417,2638,117.96,691
swedish tropical house,101359664.22219151,4447,98.79,692
indie curitibano,100957336.18837413,91,100.89,693
rap baiano,100710379.41645028,987,119.03,694
new jersey underground rap,100676214.86666669,451,79.43,695
mexican rock,100388960.15079358,3514,137.73,696
classic opm,99876065.16666669,927,114.95,697
british alternative rock,99187197.49999999,488,157.91,698
scandinavian r&b,98911728.5094155,1859,102.52,699
guaracha,98191252.6999999,802,104.87,700
russian edm,98070988.36838719,2155,91.96,701
quiet storm,97846562.63027968,3995,142.78,702
latintronica,97321959.0909091,464,55.18,703
puerto rican indie,97197654.0,448,50.63,704
indie rock,96754916.8924061,2881,127.8,705
czech pop,96161286.47500004,6660,118.76,706
vietnamese melodic rap,94547274.72857133,3624,94.08,707
hungarian hip hop,94305836.03333351,5292,96.39,708
swedish reggae,94163795.3507936,1827,99.79,709
sandalwood,92233074.43333332,107,83.37,710
lagu jawa,91552158.71666665,579,124.15,711
new york drill,91258329.98120493,1159,96.89,712
cologne indie,90587556.49999999,551,114.65,713
czsk emo rap,89620595.16666673,5528,87.21,714
musica triste brasileira,89599491.29949501,603,110.3,715
indian indie,88687602.87857142,786,103.03,716
edmonton indie,88571081.81818181,182,145.4,717
lo-fi indie,88545737.8,173,143.88,718
uk reggae,88519480.3904762,218,129.77,719
indie soul,88214764.54071033,1591,116.96,720
albanian pop,88013821.20888267,2032,102.98,721
axe,87304261.73782049,1422,70.39,722
rap df,86730985.66082254,379,116.44,723
rap boricua,86553241.50000003,1329,101.57,724
rock nacional,86256998.85000014,3398,157.2,725
carnaval,86106393.56666668,445,112.33,726
indonesian alternative rock,85883408.75,991,127.94,727
musica popular colombiana,85318864.82655124,5756,124.92,728
cantautor,84505276.99417529,6152,143.45,729
detroit trap,84470119.68329735,492,116.08,730
neoperreo,84426248.31801867,1042,104.48,731
manele,84090378.4333334,3313,104.09,732
vocaloid,83600587.41666666,413,125.81,733
tekk,83254770.20793648,686,116.25,734
women's music,83137960.93181819,1427,114.02,735
lithuanian electronic,82938972.80476193,871,120.91,736
indian singer-songwriter,82911929.34761903,423,96.79,737
indonesian rock,82643903.41666669,754,112.73,738
singaporean mandopop,82165186.1140055,6537,119.1,739
circuit,82044212.86507931,733,101.2,740
indie garage rock,81983053.99999991,269,125.64,741
experimental pop,81958813.65972212,1425,91.3,742
canadian electronic,81448037.3172936,3970,95.46,743
trap metal italiana,81440532.9071428,521,105.47,744
uk alternative pop,81373616.30531138,2346,135.31,745
egyptian pop,81279885.15285005,10473,104.34,746
solo wave,81018069.81031755,681,77.48,747
australian rock,80495918.83997111,1396,167.92,748
barnmusik,80486430.0,259,77.05,749
pop teen brasileiro,80354378.88333333,347,81.2,750
neo-synthpop,80326178.35676402,3904,91.23,751
belo horizonte indie,80174702.73333333,184,109.24,752
argentine telepop,79903662.32301593,3407,120.61,753
khaliji,78931022.85000001,6150,93.76,754
chinese r&b,78830824.46190475,3085,94.13,755
israeli hip hop,78482395.71060607,4201,109.65,756
hardcore hip hop,78048291.18086821,3542,116.36,757
melancholia,77408973.904762,1235,138.17,758
ukrainian pop,77171042.21666658,3086,94.36,759
glam metal,77082728.19999987,1561,167.18,760
thai teen pop,77023668.41666661,1588,85.62,761
magyar trap,76966233.19999991,4104,96.74,762
laiko,76887101.2845238,5188,106.39,763
south african house,76627731.23663104,1807,89.91,764
teen pop,75952928.40909103,2327,88.11,765
japanese pop rap,75922305.13333334,394,94.78,766
rap rock,75759416.93963541,1305,130.77,767
german house,74547164.77619047,361,130.53,768
german reggae,74490442.97063488,784,117.09,769
eau claire indie,74127651.99999999,675,128.49,770
zhongguo feng,74003140.96666671,6490,119.61,771
german viral rap,73984473.66666669,452,104.62,772
korean ost,72463689.40833335,1218,109.78,773
country dawn,71748856.14545171,1150,136.49,774
heartland rock,71506902.15853041,2511,147.57,775
brazilian gospel,71449132.5,150,170.02,776
haryanvi pop,71162080.73225108,1072,90.61,777
german rock,70874073.1333334,700,110.58,778
australian reggae fusion,70865452.5,694,147.78,779
swedish eurodance,70493047.08571437,842,99.24,780
soundtrack,70118626.41309524,912,111.15,781
orchestral soundtrack,69712802.9797619,893,110.0,782
azeri rap,69696685.90476191,679,108.68,783
classic norwegian pop,69515315.95515874,2073,117.2,784
chinese indie,69359480.19047618,5444,112.41,785
swedish dancehall,69339343.11401516,1733,105.23,786
trap antillais,68981366.16904753,1361,101.34,787
mahraganat,68604703.24761906,4369,95.26,788
nottingham hip hop,68001599.31862745,931,99.07,789
rap femenino mexicano,67908332.0,248,100.53,790
classic pakistani pop,66604699.33820345,1426,132.79,791
veracruz indie,66259504.14166659,2150,119.91,792
man's orchestra,66181661.25000001,823,110.62,793
experimental,65298315.41865083,961,79.53,794
dutch trance,64422102.47925688,2376,92.41,795
deep pop edm,64111138.25000001,1601,106.83,796
boston folk,63930043.809523866,230,76.21,797
bolobedu house,63732016.01666666,1166,88.47,798
north east england indie,63718265.5,258,96.79,799
kurdish hip hop,63389111.36428573,531,115.33,800
swedish soul,63198079.99999993,1128,111.52,801
scottish rock,63194376.68333334,295,114.49,802
channel pop,63121479.06666664,756,121.14,803
gaming dubstep,62918001.84960319,1018,104.86,804
brighton indie,62631346.70833334,637,151.82,805
javanese dangdut,62085773.7166667,548,125.54,806
roda de samba,62024471.333333336,154,101.88,807
icelandic hip hop,61832176.4928572,11345,90.93,808
slovak hip hop,61517086.68333319,8812,103.58,809
j-rap,61474799.811904766,696,121.05,810
malay rap,61438831.64971991,2163,107.77,811
emo rap italiano,61375437.87539682,522,105.24,812
future house,61363828.59606426,3696,112.57,813
dancehall queen,60980735.82723665,2741,101.88,814
j-indie,60944683.33333338,381,85.81,815
dark pop,60891668.16442723,2723,96.67,816
persian pop,60858779.70324671,3189,106.38,817
bulgarian pop,60848460.720237955,12998,104.12,818
rif,60562587.32913196,5106,101.44,819
chanson,60513408.53174601,909,123.33,820
bubblegum pop,60351027.60753968,295,132.41,821
uk alternative hip hop,60044026.25710958,889,117.07,822
rap siciliano,59867865.79365084,519,111.38,823
ritmo kombina,59307458.062698364,1732,99.34,824
trap catala,59091651.82792206,558,87.4,825
chicano rap,58854502.94427658,1432,106.89,826
irish rock,58477917.60476195,1550,139.61,827
aesthetic rap,58176373.42261907,1273,127.34,828
dutch indie,58042901.14166664,776,104.14,829
modern folk rock,57942849.70057714,1404,137.18,830
salsa peruana,57688153.44206347,1349,121.27,831
r&b italiano,57683696.59532967,529,107.2,832
mgpjr,57577296.116666675,853,112.68,833
schlager,57567529.499999985,646,111.9,834
folklore argentino,57476794.93690476,1209,127.5,835
rap catala,57299004.32792206,503,88.03,836
zhenskiy rep,56956689.45000002,725,73.41,837
german trance,56948218.36363636,1674,80.47,838
trap mexicano,56867175.36804998,427,122.36,839
classic bollywood,56801412.563492045,644,96.69,840
punk,56460641.679761924,845,119.47,841
uk house,56400101.804168046,725,109.14,842
swedish indie rock,56055354.919444464,1124,123.27,843
uk americana,56045610.58412692,1438,137.41,844
breaks,55975716.66666667,292,73.66,845
experimental house,55742718.66666667,291,73.36,846
kazakh hip hop,55670044.980158836,3464,95.55,847
japanese viral pop,55594344.0,207,116.5,848
meme rap,55491243.91666667,498,127.97,849
electronica,55485836.226176515,2438,126.42,850
antideutsche,55403818.333333336,385,104.92,851
anadolu rock,54609879.954761945,1454,137.62,852
psychedelic hip hop,53471136.72020202,505,116.65,853
rap criolo,53462907.349999964,2032,98.39,854
orlando indie,53354038.0,137,128.64,855
singaporean singer-songwriter,53333568.5473389,1621,104.95,856
lithuanian pop,53263813.516666695,8188,111.63,857
mizrahi,53135832.633333355,4214,93.71,858
mollywood,53082235.400000006,128,117.55,859
nouvelle chanson francaise,52681800.440476164,810,118.97,860
polish indie,52643529.7166666,757,102.7,861
estonian pop,52639683.89523806,10191,98.99,862
karadeniz turkuleri,52525033.79523811,1482,134.33,863
dangdut,52168616.950000025,499,114.63,864
brega romantico,52138222.000000045,371,89.8,865
japanese emo,51824773.27077923,1598,105.39,866
turkish edm,51785786.26648351,950,107.03,867
visual kei,51490662.68030304,1587,105.53,868
sheilat,51210623.0,2350,89.55,869
turkish folk,51124067.34523808,559,114.22,870
turkish modern jazz,50981529.90476191,828,124.75,871
torch song,50690338.10238095,584,133.07,872
australian trap,50517141.08507327,632,109.9,873
deboxe,50405637.39523807,167,79.3,874
japanese electropop,50134167.29999999,765,89.37,875
brooklyn indie,50074705.0909091,936,136.17,876
solomon islands pop,50045777.58333333,492,89.23,877
post-punk argentina,49537367.64285715,2878,161.17,878
idol,49526697.007142864,1651,101.67,879
png pop,49206696.25,395,80.66,880
melanesian pop,49206696.25,395,80.66,881
melodic dubstep,48975431.9852994,2420,108.79,882
oyun havasi,48646775.33333332,647,113.17,883
melodipop,48626674.82539684,403,94.54,884
russian electronic,48517650.566666685,1037,116.52,885
fidget house,48176489.68809525,346,114.75,886
nu-cumbia,48084011.4563492,2537,126.7,887
baltimore indie,47638456.75,280,154.59,888
german pop rock,47583297.223809525,688,109.72,889
modern dream pop,47575672.75,235,155.38,890
groove room,47549314.14999999,324,97.7,891
pinoy indie rock,47538490.0,24,55.29,892
nederlandse hardstyle,47457013.9888889,416,122.48,893
dream smp,47025803.70833334,842,115.02,894
turkish instrumental,46922720.18333334,356,96.3,895
dutch cabaret,46801661.78333335,777,97.89,896
german indie folk,46398650.26666667,170,92.89,897
indie siciliano,46137295.1833333,137,83.72,898
bruneian pop,46044138.0,547,104.35,899
arab pop,45941594.61713564,7903,104.48,900
gruperas inmortales,45850170.161111124,2949,126.78,901
euphoric hardstyle,45558545.9888868,3504,74.85,902
birmingham metal,45192791.70833328,751,85.92,903
azontobeats,44843328.61563021,3000,100.96,904
danspunk,44390314.852380924,609,121.91,905
classic malaysian pop,44282090.74971989,1452,113.4,906
norwegian singer-songwriter,44024731.65797259,1099,103.15,907
cumbia paraguaya,43987818.766666695,2201,135.09,908
disney,43767026.10714285,290,127.1,909
classic hardstyle,43742258.80833124,3410,74.17,910
celtic,43728628.240384616,598,95.39,911
irish folk,43431889.390384614,562,94.1,912
thai pop rap,43407102.80555556,321,65.23,913
deep flow,43260420.16666667,607,118.86,914
swing,43231795.379761964,955,129.44,915
celtic punk,43189113.44166667,550,93.27,916
folk punk,43170700.375,545,92.09,917
sped up,43097592.66666666,814,114.49,918
vapor pop,43092012.55555562,1141,117.19,919
vapor twitch,43022316.28931461,1919,114.53,920
ghanaian pop,42637279.67103177,985,111.38,921
trap dominicano,42319209.661793694,3287,118.14,922
dutch drill,42264258.54047621,448,114.06,923
thai viral pop,42128057.333333336,478,105.31,924
danish pop rock,42044490.08333332,926,108.99,925
rap baixada fluminense,42030830.44166666,270,105.07,926
vocal harmony group,41904554.53571426,642,108.1,927
adoracao,41452622.25,138,142.05,928
bergen indie,41384121.616666675,440,167.4,929
dutch trap,41245927.7238095,687,126.82,930
khaleeji iraqi,41179551.75,2951,85.94,931
czech rock,41146774.49999994,3392,122.33,932
kollywood,40914045.183333315,167,109.41,933
korean old school hip hop,40844824.50833341,742,79.28,934
central asian hip hop,40834932.853968285,2492,96.88,935
karadeniz pop,40341790.89523807,565,100.22,936
city pop,40108176.319047615,167,70.24,937
israeli singer-songwriter,40081922.133333325,2549,120.0,938
belgian dance,40049592.68594332,2378,107.85,939
trap pesado,39997665.1357143,156,121.67,940
romanian rap,39801492.35000002,3270,102.9,941
el paso indie,39698783.72499998,734,130.5,942
vapor soul,39595172.25467705,2234,118.8,943
russian gangster rap,39593829.61587308,2808,105.62,944
shoegaze,39587665.26666665,764,132.93,945
ambient pop,39534462.59999998,733,130.45,946
italian alternative,39504065.68333332,241,108.3,947
reggae,39462862.48399654,3727,106.22,948
roots reggae,39354818.50780607,3691,105.7,949
swedish singer-songwriter,39128863.17402593,1003,143.15,950
thai folk,38981056.41666667,728,107.43,951
rap underground espanol,38779504.046825394,447,140.05,952
hands up,38673746.219696976,1132,101.99,953
bubblegum dance,38604589.1974026,1365,109.64,954
classic indonesian rock,38314923.08333333,662,119.07,955
christian music,38218188.36666667,450,133.0,956
dutch r&b,37877119.54999998,474,82.07,957
punk blues,37810188.35757579,1297,169.64,958
israeli rock,37657623.50000003,2615,121.71,959
funk metal,37611449.62698412,2093,153.68,960
spanish synthpop,37343599.599999994,66,114.09,961
huzunlu sarkilar,37205741.5,166,132.08,962
thai idol,37156981.733333334,599,96.48,963
suomirap,36868112.40952381,1537,114.24,964
indian edm,36807371.697646834,1123,115.65,965
deep adult standards,36649329.75,575,104.58,966
nordnorsk musikk,36639058.85753967,880,102.4,967
vietnamese trap,36626890.126190476,2153,97.03,968
south carolina hip hop,36599005.985298924,2854,110.06,969
ghanaian alternative,36479450.504365064,650,109.07,970
indonesian city pop,36472568.33333332,396,113.6,971
old school thrash,36401735.70000005,686,128.76,972
thrash metal,36384452.70000005,681,128.86,973
rap feminino nacional,36233012.099737756,283,127.16,974
ukrainian viral pop,36073718.3333333,1290,80.19,975
gothenburg indie,36068166.06805554,1322,142.04,976
rap chileno,35611598.767099574,537,109.28,977
jawaiian,35305596.36666667,397,110.17,978
malaysian indie,35284579.49416434,1225,117.75,979
deep funk ostentacao,35265232.36507936,321,97.54,980
boston indie,35162464.11111114,241,120.66,981
old school atlanta hip hop,35074276.700963736,3484,121.65,982
musica capixaba,34877209.47070708,428,113.18,983
rap capixaba,34877209.47070708,428,113.18,984
post-romantic era,34842345.03571428,258,117.3,985
asian american hip hop,34840444.63788152,765,111.27,986
ukrainian classical,34816223.25,255,116.82,987
chanson virale,34655410.949999996,170,110.66,988
malaysian mandopop,34426750.91666664,1882,108.91,989
industrial,34394242.49047616,1723,116.64,990
russian grime,34389475.11825399,1724,119.88,991
industrial metal,34017583.29047617,1712,116.52,992
industrial rock,34017583.29047617,1712,116.52,993
minimal tech house,34015245.81666667,507,98.91,994
metalcore,33964034.90799062,886,132.36,995
experimental rock,33933817.55555559,627,82.88,996
german metal,33873958.83333332,1702,116.15,997
neue deutsche harte,33872831.83333332,1697,116.12,998
norwegian country,33466951.83095237,1004,141.69,999
pinoy alternative rap,33333087.483333338,365,116.27,1000
canadian singer-songwriter,33188466.820923522,1216,151.86,1001
jazz trio,33025456.833333317,118,107.1,1002
rap antillais,32712075.58452384,517,90.65,1003
egyptian alternative,32619515.113095235,2193,95.85,1004
nice indie,32479164.999999966,699,104.78,1005
belarusian hip hop,32438268.821428582,2201,116.87,1006
australian house,32182616.20238095,473,139.05,1007
chilean rock,32007206.015694086,854,145.55,1008
pittsburgh indie,31997304.0,231,136.92,1009
funk rock,31902969.17171717,1856,156.18,1010
thai rock,31879155.733333357,1105,107.29,1011
russian post-punk,31686934.66666666,598,125.17,1012
taiwanese indie,31554063.73333333,1179,73.25,1013
classic canadian rock,31502262.366955277,1045,150.78,1014
turbo folk,31492058.55000001,898,110.23,1015
australian indie folk,31137571.43333333,301,157.09,1016
rai,31114710.785714258,3837,107.14,1017
atlanta bass,30870676.29946524,84,127.13,1018
ska mexicano,30829050.599999998,343,159.2,1019
norwegian trap,30812437.803174615,617,92.07,1020
cumbia peruana,30736041.571428567,535,154.66,1021
russian hyperpop,30675347.183333356,698,80.65,1022
pixie,30667488.19567098,801,123.64,1023
south african hip hop,30595509.91841535,1219,97.69,1024
kleinkunst,30481560.733333364,911,106.85,1025
dancefloor dnb,30436203.359021224,2157,114.02,1026
danish rock,30355082.250000004,1090,123.05,1027
tecnobanda,30214846.25,133,99.29,1028
rock kapak,29992978.699719887,1434,116.25,1029
drum and bass,29974933.335211705,2157,113.99,1030
nederpop,29890382.99999999,408,99.06,1031
israeli trap,29590332.543939408,1880,113.09,1032
carnaval cadiz,29448939.047619045,557,129.74,1033
finnish drill,29442783.92499999,560,81.34,1034
psychedelic rock,29390245.67936508,1080,151.76,1035
chinese singer-songwriter,29255843.833333325,1907,95.5,1036
turkish jazz,29236702.74999998,702,139.61,1037
uk dnb,29160060.7,545,108.06,1038
czech pop rock,28910025.79999996,2519,128.24,1039
okinawan pop,28850891.673809513,1078,95.66,1040
japanese r&b,28789511.185714286,706,133.61,1041
estonian hip hop,28573246.888095226,6848,99.43,1042
world,28533650.178715717,519,104.51,1043
st louis rap,28476643.63952017,914,104.59,1044
icelandic rock,28360917.354761858,5649,119.5,1045
birmingham hip hop,28352413.201587297,404,98.36,1046
pop emo,28281755.938095238,386,120.89,1047
morelos indie,28031040.99999999,640,157.49,1048
uk melodic rap,27837919.02439131,406,112.03,1049
volkspop,27613404.23333332,762,118.07,1050
mexican edm,27537306.16666666,258,102.89,1051
p-pop,27514695.33333333,193,91.69,1052
japanese alternative pop,27297793.166666668,115,90.26,1053
icelandic indie,27281571.809523758,4548,104.54,1054
british indie rock,27045718.300396826,701,107.92,1055
tejano,27004112.490243915,194,158.6,1056
bronx hip hop,26953396.40904093,1623,91.66,1057
surinamese pop,26535255.483333334,257,97.3,1058
dutch indie rock,26463174.458333343,482,122.74,1059
new jack swing,26397603.97651958,2401,100.01,1060
vallenato moderno,26373845.77222223,2944,113.5,1061
swedish alternative rock,26343321.249206357,414,128.0,1062
scam rap,26256483.83480673,160,131.54,1063
children's music,25976048.727272727,196,127.63,1064
barnsagor,25945420.0,128,105.92,1065
turkce trap metal,25943228.199999996,152,101.49,1066
melodic metalcore,25870614.607990626,830,131.6,1067
uk metalcore,25633901.656601734,768,130.92,1068
taiwan idol pop,25623940.83333331,841,84.46,1069
australian alternative pop,25585546.40039684,694,123.0,1070
nightcore,25496094.666666675,256,94.13,1071
levenslied,25493005.533333335,349,125.79,1072
japanese trap,25477343.24523809,255,133.93,1073
czsk viral pop,25459108.950000048,2058,93.35,1074
slovenian pop,25215586.083333306,1953,85.59,1075
boom bap espanol,25155954.325396817,252,121.6,1076
persian hip hop,25129607.5,100,65.64,1077
german indie,25117871.333333325,326,113.7,1078
rap uruguayo,25049094.572619054,640,114.01,1079
dutch americana,24889597.905952375,459,94.53,1080
grupera,24836197.815243907,1128,141.4,1081
rock uruguayo,24790302.598015875,2516,157.84,1082
canadian latin,24762570.639285743,931,134.54,1083
t-pop girl group,24636843.16666666,391,82.7,1084
russian viral rap,24627827.659523807,1024,86.44,1085
kazakh pop,24513454.408730187,1845,99.74,1086
flamenco,24394419.870779216,358,107.79,1087
reggae uruguayo,24371376.998015873,2240,158.74,1088
ukrainian hip hop,24248841.249999974,1235,94.13,1089
salsa venezolana,24229951.96666668,591,128.27,1090
phonk,24127314.206349183,802,128.19,1091
jazz funk,23597005.06666668,585,171.09,1092
classic iskelma,23565998.364826832,1393,110.16,1093
telugu folk,23548416.0,24,71.38,1094
sholawat,23484865.75,146,93.68,1095
dangdut koplo,23420345.21666668,403,145.26,1096
classic israeli pop,23321700.316666666,2375,120.87,1097
cueca chilena,23240241.5,124,121.84,1098
junior eurovision,23015906.333333336,229,95.34,1099
rock viet,23005107.145238087,1714,93.04,1100
kizomba,22933731.91249999,1806,111.87,1101
classic icelandic pop,22723629.688095223,6529,115.03,1102
pinoy idol pop,22598271.0,104,100.72,1103
cloud rap francais,22594949.49696968,296,85.73,1104
cumbia santafesina,22506309.499999996,193,141.65,1105
ukrainian rock,22449611.766666666,1621,107.37,1106
corridos alternativos,22415082.521428574,311,138.86,1107
rap angolano,22213177.027976193,1405,97.7,1108
icelandic singer-songwriter,22200663.016666695,5848,90.93,1109
old school hip hop,22069542.56201295,1512,87.82,1110
tvog,21884937.000000004,199,121.94,1111
swedish indie pop,21784826.113406025,1216,147.04,1112
italian soundtrack,21751714.0,19,72.74,1113
magyar alternative,21730814.800000004,2768,120.93,1114
british singer-songwriter,21677055.963275615,663,157.8,1115
rap uliczny,21633808.757142853,426,110.0,1116
pop rock brasileiro,21621944.687662333,224,169.22,1117
uk pop punk,21427387.5,59,71.14,1118
chalga,21394813.386904765,5760,104.46,1119
sami,21320784.54722222,164,95.49,1120
canadian indie,21306868.465476193,784,120.45,1121
tamaulipas rap,21251809.66666668,137,139.39,1122
peruvian hip hop,21153996.5,175,135.15,1123
classic schlager,21141568.266666666,225,112.01,1124
uppsala indie,21032938.000000007,299,124.07,1125
acoustic chill,20989685.2,86,133.07,1126
latvian pop,20926490.46666666,4569,117.63,1127
trancecore,20587285.029166665,363,97.98,1128
new rave,20563816.838577792,1539,136.93,1129
nz hip hop,20541619.872222207,781,112.26,1130
viral pop brasileiro,20372086.821428567,107,109.96,1131
sunnlensk tonlist,20330160.650000006,1049,100.98,1132
lithuanian edm,20262401.388095267,1037,121.0,1133
noise pop,20260348.0625,465,113.16,1134
discofox,20203616.083333332,140,106.4,1135
classic turkish pop,20145112.700000003,161,133.66,1136
rap motywacja,20056293.449999984,600,127.06,1137
glitchcore,20050152.000000004,412,116.39,1138
emo trap italiana,20033625.033333324,121,109.43,1139
indonesian idol pop,20020680.5,98,105.3,1140
harlem hip hop,20018465.41785711,1390,83.5,1141
danish alternative rock,19957166.5,720,114.58,1142
chilean indie,19924951.805608887,472,135.01,1143
reggae tuga,19862816.373809524,834,95.85,1144
australian country,19835097.521428566,279,126.33,1145
bhangra,19832141.866758242,242,111.17,1146
newcastle nsw indie,19819786.0,21,170.86,1147
monterrey indie,19804856.5,69,133.59,1148
irish hip hop,19739408.205444567,304,114.1,1149
dutch singer-songwriter,19702479.81666665,296,86.27,1150
electro bailando,19541384.0,816,116.44,1151
trot,19480617.0,531,75.74,1152
salsa choke,19407938.16097512,1497,108.0,1153
haryanvi hip hop,19403938.452380963,64,119.63,1154
danish electropop,19293619.833333343,447,102.6,1155
russian rock,19236680.313095234,951,112.6,1156
gaming edm,19020583.671608947,1312,103.68,1157
spanish noise pop,19012844.923611104,134,127.57,1158
deep neofolk,19012451.333333336,350,103.06,1159
viet lo-fi,19010529.93333332,454,114.37,1160
greek house,18938973.75,1005,106.02,1161
norrlandsk hip hop,18930665.540079363,384,111.37,1162
chilean hardcore,18929290.900000006,199,111.6,1163
hong kong indie,18927915.616666686,1420,115.61,1164
piratenmuziek,18830333.666666664,57,85.18,1165
j-pop girl group,18744857.249999985,690,132.62,1166
cologne hip hop,18728396.487301584,351,102.51,1167
traphall,18590956.322064213,1632,127.45,1168
italian tech house,18581098.0,30,85.8,1169
russian rave,18555299.800000004,412,105.28,1170
dansband,18539382.4,292,132.55,1171
gothenburg hip hop,18521686.24761903,400,110.98,1172
telugu indie,18496583.833333332,51,104.55,1173
classic soul,18490026.29166667,1173,157.59,1174
hungarian rock,18357035.46666668,1729,124.21,1175
jazz blues,18352646.809992786,456,165.81,1176
finnish reggae,18312065.95714286,860,104.74,1177
vintage tollywood,18224255.25,55,86.38,1178
norwegian rock,18075975.74368687,844,133.23,1179
brazilian reggae,18070399.11666665,153,118.24,1180
slovak trap,17933040.76666668,1972,97.94,1181
flamenco guitar,17857255.230303034,161,78.47,1182
orchestra,17661747.333333347,526,95.17,1183
russian underground rap,17661013.433333337,547,125.53,1184
nordic orchestra,17652343.00000001,520,94.34,1185
russian viral pop,17620845.116666667,485,100.21,1186
hong kong hip hop,17546367.83333333,924,90.18,1187
lilith,17541280.380230833,1250,145.71,1188
danish post-punk,17515804.5,695,115.45,1189
slovak pop,17503177.549999986,2946,118.84,1190
classic finnish pop,17500301.214826863,993,111.5,1191
sinhala indie,17386561.350000005,63,85.24,1192
radio symphony,17307720.40000001,505,92.45,1193
polish alternative rock,17294464.983333334,333,106.13,1194
screamo,17217110.218055557,84,142.61,1195
