genre,total_streams,chart_appearances,avg_position,rank
italian adult pop,1848191905.470621,12954,103.82,137
british soul,1838406520.2893686,25309,108.23,138
irish singer-songwriter,1817727743.601407,16098,104.04,139
country road,1808331257.206145,19541,112.26,140
brostep,1803379731.0835717,50980,91.33,141
etherpop,1793304791.6622968,29310,93.32,142
vapor trap,1784568917.4712067,16475,101.5,143
sad sierreno,1777613920.9880898,10573,111.78,144
scandipop,1757665237.1035545,37947,90.73,145
urbano chileno,1728789135.606317,9380,85.51,146
funk mtg,1726602884.019662,6633,95.58,147
pop argentino,1726299683.8815,18713,99.64,148
progressive electro house,1704801659.8537974,54684,97.26,149
corrido,1690398759.1749926,10487,111.9,150
turkish alt pop,1675137191.7499998,6260,104.58,151
indie pop,1670539327.7449954,14361,100.31,152
rap canario,1626619108.8198411,4457,83.96,153
afro r&b,1616356382.999892,5419,87.37,154
thai pop,1607926861.1916652,23829,92.82,155
trap triste,1597151082.1299078,26939,97.04,156
urbano latino,1595775982.1100926,11232,78.84,157
big room,1594485175.4203968,60143,90.96,158
queens hip hop,1581352065.0967152,34758,93.43,159
electro,1553826331.0527446,27810,82.35,160
mandopop,1546684341.9223254,59006,107.23,161
rap latina,1542559499.5704472,40754,91.51,162
kentucky hip hop,1518739559.664394,12004,83.16,163
gauze pop,1514172218.6082492,14435,85.72,164
escape room,1506908236.4669886,12049,99.21,165
turkish trap pop,1505885377.1630902,10430,94.64,166
hamburg hip hop,1483656845.765875,10223,101.85,167
cali rap,1475656866.2886872,17284,101.82,168
funk ostentacao,1448184556.7798688,11469,94.9,169
mellow gold,1409606440.6223123,30428,107.44,170
danish hip hop,1387513636.1185043,20897,96.67,171
sierreno,1379225572.2781744,9760,111.97,172
filter house,1367372980.4249978,21446,87.91,173
modern alternative rock,1351629894.0039418,27572,105.05,174
funk pop,1350589469.1196404,15288,90.71,175
finnish dance pop,1349808351.522474,38750,96.46,176
underground hip hop,1348642752.0270796,20636,112.44,177
barbadian pop,1347312155.613186,30387,90.37,178
israeli pop,1339815750.7860057,21358,96.42,179
sad rap,1339051333.4923036,7563,101.58,180
cumbia pop,1338764715.4300141,21170,104.45,181
latin arena pop,1330784624.4179382,42549,118.04,182
shiver pop,1303301249.0179446,6629,66.64,183
polish pop,1294863741.5000005,9419,94.72,184
swedish idol pop,1286662439.023664,10927,95.02,185
german dance,1275363304.8186746,45548,86.58,186
punjabi pop,1259877548.4324315,5386,95.54,187
nigerian pop,1244849297.1414454,21295,93.46,188
latin alternative,1240798272.8681207,29817,136.62,189
swedish hip hop,1237111487.403177,14874,98.27,190
arrochadeira,1232060011.198808,2920,89.99,191
trap brasileiro,1220477123.8374863,4974,107.41,192
rock en espanol,1206310028.3843503,46826,138.98,193
deep underground hip hop,1206125893.281676,8538,75.78,194
ranchera,1193851819.9076262,24743,115.4,195
dominican pop,1173416785.980658,39994,99.43,196
funk paulista,1172331529.6037877,7410,98.14,197
turkce drill,1165137532.6880956,4884,80.27,198
indonesian singer-songwriter,1161311761.9055588,5834,103.26,199
latin viral pop,1153087210.8640015,24419,93.55,200
pluggnb,1151115496.7768018,6450,108.33,201
bachata,1128126873.80204,32757,102.2,202
easy listening,1119214287.2416651,8690,96.94,203
italian indie pop,1118907583.0576885,7129,103.28,204
grime,1115934062.106075,12939,101.77,205
rap napoletano,1115052158.2158737,7483,101.0,206
melodic drill,1109678750.5710876,5921,95.26,207
anime,1078745071.385715,9788,96.9,208
minnesota hip hop,1077754405.803031,5604,90.5,209
norteno,1065321016.1926572,11917,119.07,210
desi hip hop,1061130378.3330076,8106,99.5,211
russian hip hop,1059463723.3591263,33108,100.5,212
turkish rock,1049969872.17619,10991,126.06,213
finnish pop,1049303416.183985,33618,97.27,214
electronic trap,1049093803.822896,34656,85.69,215
pagode,1033796221.5266087,3786,102.97,216
deep german hip hop,1024426485.4321063,9129,108.77,217
soft rock,1002738090.4942745,23520,124.33,218
reggae fusion,1000960821.4329925,17489,89.07,219
rap marseille,997942181.960102,10088,103.37,220
pagode baiano,997038624.836118,10567,92.24,221
memphis hip hop,994909048.6530359,11795,92.9,222
finnish hip hop,993460555.737953,29102,96.25,223
tropical,973634570.172218,54643,118.59,224
chicago indie,973038815.9166662,1980,103.48,225
florida rap,951190873.2710171,6091,108.63,226
swedish trap pop,943909451.8884914,12388,96.27,227
album rock,929833072.4346217,20845,128.32,228
europop,923885960.8857995,16011,101.04,229
uk funky,922460515.7107112,30753,83.75,230
german trap,916972673.3884212,5846,101.17,231
shimmer pop,916167312.2813135,10763,105.93,232
corridos tumbados,912700777.2432545,4902,114.77,233
mambo chileno,903895285.1702391,3545,76.92,234
dutch edm,902515952.0068417,36816,88.86,235
banda,894309645.348444,12815,122.87,236
german cloud rap,892732665.5865078,6236,101.25,237
houston rap,880503716.0519196,7828,92.68,238
nz pop,874027862.5207663,18350,86.71,239
albanian hip hop,868159446.7503345,7681,99.75,240
perreo,861864621.7097961,20017,102.88,241
nyc pop,851877705.7918333,10377,94.64,242
east coast hip hop,849122970.2734696,23138,104.16,243
mariachi,840190888.0231801,19257,108.88,244
frauenrap,833798698.7150788,5229,96.54,245
aussietronica,829510726.1525267,16647,77.52,246
punjabi hip hop,825928515.5286635,1900,85.53,247
moombahton,810994689.3326026,34439,86.26,248
j-rock,809731570.5731615,12264,102.85,249
swedish electropop,785263165.3616918,33735,89.8,250
afro dancehall,783087785.2938637,17749,87.81,251
bedroom soul,782997844.8666666,4115,87.68,252
afroswing,775788849.7808745,6014,99.74,253
neo-singer-songwriter,774296957.8919424,8006,108.01,254
dirty south rap,768524588.4559612,23904,95.19,255
latin rock,766824231.593921,23500,143.96,256
mexican hip hop,763912013.5196378,3451,105.94,257
gen z singer-songwriter,759462453.9634199,3883,99.28,258
anime rock,753937561.8761888,6832,87.9,259
ohio hip hop,739453403.875089,6680,103.96,260
chill r&b,737395029.4620671,7673,88.1,261
v-pop,734664686.5261922,21347,94.19,262
brega funk,721961290.6857148,2560,94.07,263
trap soul,720098931.9433713,22214,92.62,264
girl group,719187496.4270585,23770,94.36,265
brill building pop,715192570.0563488,4849,90.75,266
uk contemporary r&b,711489540.9032032,19735,90.47,267
australian electropop,707669530.1590044,15552,80.36,268
turkish alternative rock,704971853.8261898,4707,108.69,269
alternative hip hop,704786046.3409014,4117,101.03,270
dancehall,703813268.9581653,24967,102.99,271
french pop,699151644.5410533,10972,111.79,272
brazilian hip hop,691754647.2279176,3923,110.7,273
social media pop,689007244.5375443,7080,99.44,274
cantopop,688790689.6452377,31176,102.23,275
rome indie,683913664.0492054,4480,109.6,276
chill pop,682778799.8833331,4178,90.07,277
indie pop rap,682120904.1349461,14838,92.89,278
dutch rock,675012704.9790759,7322,106.71,279
funk 150 bpm,668351694.6892402,2000,88.98,280
basshall,665770858.5217794,9155,98.74,281
electro latino,663252865.9595395,23087,99.45,282
bolero,659886936.570295,4718,126.21,283
greek trap,659258924.1026067,24951,90.49,284
pop rap brasileiro,648865798.9604975,2666,112.28,285
sheffield indie,648179364.599997,13937,113.28,286
new wave pop,645730133.6512458,7602,92.96,287
london rap,643232128.0595217,4865,95.9,288
stomp and holler,642885802.6044947,14338,137.44,289
musical advocacy,637579018.0416666,1070,76.94,290
jazz pop,636646091.0496747,7980,106.55,291
eurovision,636551293.6428549,12003,102.87,292
seattle hip hop,629790912.5539707,17462,94.51,293
italian underground hip hop,626831509.821428,4102,100.53,294
show tunes,626640264.4075412,7718,99.95,295
nova mpb,616645446.231684,4424,112.54,296
la pop,614107297.6641589,9529,104.77,297
complextro,608096180.3065051,26704,86.7,298
cumbia 420,607534802.7547609,6199,97.62,299
garage rock,607037188.9752495,14397,118.88,300
canadian trap,598261955.1037881,12662,95.94,301
pinoy hip hop,592287042.5000001,4867,93.58,302
deep house,588337274.3549279,26838,86.4,303
piseiro,585200226.8857138,1446,97.8,304
r&b brasileiro,576865122.9943261,2658,109.23,305
vocal jazz,575002355.8008653,4611,115.83,306
country pop,564820493.4519823,7958,107.8,307
funk consciente,562877580.5708873,2955,99.48,308
new orleans rap,562572873.8422515,9906,100.59,309
new school turkce rap,557953123.6500008,4838,101.16,310
alternative dance,554083214.896473,12067,79.83,311
trap funk,553625621.0958767,2143,102.86,312
art rock,543580647.8288202,10463,99.13,313
taiwan pop,543511365.3678578,30015,108.83,314
latin talent show,540682367.2980157,4302,105.77,315
indie triste,535327072.58333427,3521,119.09,316
viral trap,531374357.91742355,5353,85.52,317
pittsburgh rap,526711399.31687874,11154,102.24,318
rap dominicano,522910652.45915496,22267,100.62,319
cubaton,520184987.4511913,14998,95.44,320
flamenco urbano,520144315.07286364,2773,96.92,321
oakland hip hop,513275100.4374358,12186,95.89,322
indonesian jazz,509899691.70833224,4350,111.85,323
baton rouge rap,509094245.88002896,2333,113.96,324
deep euro house,508359880.63858277,25377,85.86,325
previa,505112736.5726184,6623,108.44,326
drill francais,502971305.3656573,3786,99.4,327
pinoy rock,502218028.64999896,5172,115.91,328
reggaeton chileno,499989740.9749062,4416,95.4,329
country rock,499653676.7479242,4798,101.44,330
swedish gangsta rap,497199218.67817324,7885,95.05,331
nigerian hip hop,495492766.95097727,11421,91.13,332
soul,494824850.06530017,6125,133.1,333
rhode island rap,493222588.4166666,3317,80.62,334
trap chileno,484166650.2742657,5007,89.29,335
milan indie,479657062.7655672,3321,91.77,336
concurso de talentos argentino,479267933.25714284,1499,87.24,337
rap genovese,476646826.38418823,3219,100.8,338
trance,474543905.4031371,20626,89.76,339
indonesian indie,470385902.3666656,5685,110.64,340
modern indie pop,467472722.8416669,2060,112.97,341
rockabilly,462967688.29920703,3072,91.23,342
indie folk,461872773.15250725,7610,146.77,343
azonto,460560934.66939646,11778,82.01,344
pop lgbtq+ brasileira,459689189.3613327,2475,102.7,345
dance rock,454095793.5142238,7054,110.32,346
